Customer Id,First name,Middle Name,Last name ,Email-Id,Contact Number,Address 1,City,State and Pincode,Customer_allergic to,Aviod Allergic ingredients,Allergic_notes,Preference_Spice level,Preference_cooking level for meat,Preference_Cooking oil,Preference_notes,Resturant_name,Resturant_Address,Resturant_email,Login_id,Password,,,,,,
86,Grayson,Lee,Goodman,grayson.goodman@gmail.com,111-222-3333,456 Cedar St,Bloomington,IN 47404,No Preference,No Preference,No Preference,Less Spicy,No Preference,Vegetable Oil,No Preference,Spice Delight,"123 Main Street, Cityville, Indiana",spicedelight@email.com,spicedelight123,SD#4567,,,,,,
87,Eva,NULL,Walton,eva.walton@gmail.com,444-555-6666,789 Pine St,Bloomington,IN 47408,No Preference,No Preference,No Preference,Medium Spicy,Well Done,No Preference,No Preference,Spice Delight,"123 Main Street, Cityville, Indiana",spicedelight@email.com,spicedelight123,SD#4567,,,,,,
88,Theodore,James,Arnold,theodore.arnold@gmail.com,777-888-9999,357 Elm Ave,Bloomington,IN 47404,No Preference,No Preference,No Preference,Very Spicy,Medium,No Preference,No Preference,Indian Taste,"234 Curry Street, Masalatown, Indiana",tasteofindia@emailprovider.com,indiataste,CurryLove#12,,,,,,
89,Nova,Anne,Williamson,nova.williamson@gmail.com,222-333-4444,852 Oak Ave,Bloomington,IN 47401,dairy,dairy,No Preference,Less Spicy,Medium,Olive Oil,Coconut oil also works,Sizzling Sushi Bar,"789 Elm Street, Villageton, Indiana",sizzlingsushi@emailprovider.com,sushi_master,SushiTime!,,,,,,
90,Asher,Grace,Chapman,asher.chapman@gmail.com,888-777-6666,123 Maple Ln,Bloomington,IN 47408,No Preference,No Preference,Strictly avoid Ingredient,Medium Spicy,Rare,Vegetable Oil,No Preference,Burger Junction,"901 Bacon Avenue, Grillville,Indiana ",burgerjunction@fastfoodmail.com,burgerlover,JuicyBurger99!,,,,,,
91,Lucy,Lee,Powers,lucy.powers@gmail.com,111-222-3333,456 Cedar St,Bloomington,IN 47404,No Preference,No Preference,Strictly avoid Ingredient,Very Spicy,Medium,No Preference,No Preference,Spice Delight,"123 Main Street, Cityville, Indiana",spicedelight@email.com,spicedelight123,SD#4567,,,,,,
92,Lincoln,NULL,Reeves,lincoln.reeves@gmail.com,444-555-6666,789 Pine Dr,Bloomington,IN 47408,No Preference,No Preference,No Preference,Less Spicy,Rare,Coconut Oil,No Preference,Bella Italia,"456 Oak Avenue, Townsville,Indiana",bellaitalia@restaurantmail.com,bellaitalia123,Italia$1234,,,,,,
93,Hazel,James,Greer,hazel.greer@gmail.com,777-888-9999,357 Elm St,Bloomington,IN 47401,No Preference,No Preference,No Preference,Medium Spicy,Well Done,Olive Oil,Use only extra virgin olive oil,Veggie Haven,"345 Garden Street, Greenside,Indiana",veggiehaven@healthymail.com,greenplate,Veggies4Life#,,,,,,
94,Mateo,Anne,Houston,mateo.houston@gmail.com,222-333-4444,852 Oak Dr,Bloomington,IN 47401,gluten,gluten,Not that severe,No Preference,No Preference,Vegetable Oil,No Preference,Pizzeria Paradiso,"678 Pepperoni Lane, Pizzatown, Indiana",pizzeriaparadiso@email.com,pizza_master,Paradiso1234$,,,,,,
95,Luna,Grace,Dixon,luna.dixon@gmail.com,888-777-6666,123 Maple Dr,Bloomington,IN 47408,peanuts,peanuts,Strictly avoid Ingredient,Medium Spicy,Medium,Olive Oil,No Preference,Burger Junction,"901 Bacon Avenue, Grillville,Indiana ",burgerjunction@fastfoodmail.com,burgerlover,JuicyBurger99!,,,,,,
96,Eli,Lee,Bowers,eli.bowers@gmail.com,111-222-3333,456 Cedar St,Bloomington,IN 47404,No Preference,No Preference,No Preference,Very Spicy,Rare,Vegetable Oil,no green chilies,Sizzling Sushi Bar,"789 Elm Street, Villageton, Indiana",sizzlingsushi@emailprovider.com,sushi_master,SushiTime!,,,,,,
97,Stella,NULL,Mendoza,stella.mendoza@gmail.com,444-555-6666,789 Pine St,Bloomington,IN 47408,No Preference,No Preference,No Preference,Less Spicy,Well Done,No Preference,No Preference,Fire & Spice Grill,"567 Pine Lane, Hilltop, Indiana",firenspicegrill@eaterymail.com,spicegrill88,GrillFire$1,,,,,,
98,Max,James,Norman,max.norman@gmail.com,777-888-9999,357 Elm Ave,Bloomington,IN 47404,gluten,gluten,Strictly avoid Ingredient,Medium Spicy,Medium,Coconut Oil,Coconut oil also works,Spice Delight,"123 Main Street, Cityville, Indiana",spicedelight@email.com,spicedelight123,SD#4567,,,,,,
99,Ivy,Anne,Ray,ivy.ray@gmail.com,222-333-4444,852 Oak Ave,Bloomington,IN 47401,No Preference,No Preference,No Preference,Very Spicy,Medium,Olive Oil,Use only extra virgin olive oil,Indian Taste,"234 Curry Street, Masalatown, Indiana",tasteofindia@emailprovider.com,indiataste,CurryLove#12,,,,,,
100,Oliver,Grace,Barber,oliver.barber@gmail.com,888-777-6666,123 Maple Ln,Bloomington,IN 47408,dairy,dairy,Not that severe,Less Spicy,Rare,Vegetable Oil,No Preference,Bella Italia,"456 Oak Avenue, Townsville,Indiana",bellaitalia@restaurantmail.com,bellaitalia123,Italia$1234,,,,,,
